age,spp,condition,location,flow_reduction
23,pin,sub,bos,0.928070175438596
24,pin,sub,bos,0.801754385964912
25,pin,sub,bos,0.643859649122807
26,pin,sub,bos,0.621052631578947
27,pin,sub,bos,0.445614035087719
28,pin,sub,bos,0.82280701754386
29,pin,sub,bos,0.492982456140351
30,pin,sub,bos,0.76140350877193
31,pin,sub,bos,0.901754385964912
32,pin,sub,bos,0.9999
33,pin,sub,bos,0.47719298245614
34,pin,sub,bos,0.368421052631579
35,pin,sub,bos,0.364912280701754
37,pin,sub,bos,0.670175438596491
38,pin,sub,bos,0.656140350877193
5,pin,sub,bei,0.101020408163265
6,pin,sub,bei,0.196938775510204
7,pin,sub,bei,0.0887755102040816
8,pin,sub,bei,0.177551020408163
9,pin,sub,bei,0.289795918367347
10,pin,sub,bei,0.402040816326531
11,pin,sub,bei,0.477551020408163
12,pin,sub,bei,0.502040816326531
13,pin,sub,bei,0.562244897959184
14,pin,sub,bei,0.471428571428571
15,pin,sub,bei,0.541836734693878
17,pin,sub,bei,0.619387755102041
18,pin,sub,bei,0.591836734693878
19,pin,sub,bei,0.540816326530612
20,pin,sub,bei,0.531632653061225
21,pin,sub,bei,0.559183673469388
22,pin,sub,bei,0.522448979591837
23,pin,sub,bei,0.508163265306122
24,pin,sub,bei,0.456122448979592
25,pin,sub,bei,0.559183673469388
26,pin,sub,bei,0.506122448979592
27,pin,sub,bei,0.43469387755102
28,pin,sub,bei,0.431632653061225
29,pin,sub,bei,0.395918367346939
30,pin,sub,bei,0.761224489795918
31,pin,sub,bei,0.735714285714286
32,pin,sub,bei,0.73265306122449
33,pin,sub,bei,0.581632653061224
34,pin,sub,bei,0.604081632653061
35,pin,sub,bei,0.502040816326531
0,pin,sub,cat_2,1e-4
1,pin,sub,cat_2,0.0746666666666667
2,pin,sub,cat_2,0.0706666666666667
3,pin,sub,cat_2,0.0466666666666667
4,pin,sub,cat_2,1e-4
5,pin,sub,cat_2,0.0866666666666667
6,pin,sub,cat_2,0.114666666666667
7,pin,sub,cat_2,0.3
8,pin,sub,cat_2,0.265333333333333
9,pin,sub,cat_2,0.249333333333333
10,pin,sub,cat_2,0.446666666666667
11,pin,sub,cat_2,0.462666666666667
12,pin,sub,cat_2,0.629333333333333
13,pin,sub,cat_2,0.641333333333333
14,pin,sub,cat_2,0.714666666666667
15,pin,sub,cat_2,0.552
16,pin,sub,cat_2,0.84
17,pin,sub,cat_2,0.744
18,pin,sub,cat_2,0.844
19,pin,sub,cat_2,0.869333333333333
20,pin,sub,cat_2,0.664
21,pin,sub,cat_2,0.553333333333333
22,pin,sub,cat_2,0.445333333333333
23,pin,sub,cat_2,0.526666666666667
24,pin,sub,cat_2,0.438666666666667
25,pin,sub,cat_2,0.713333333333333
26,pin,sub,cat_2,0.574666666666667
27,pin,sub,cat_2,0.677333333333333
28,pin,sub,cat_2,0.797333333333333
29,pin,sub,cat_2,0.822666666666667
